"C_p_KT","C_p_L","C_p_PG","C_p_inc","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
0.0887546762824,0.0868216082454,0.0899799615145,0.0641790628433,1.06117212772,1.07434844971,1.07700002193,-0.00490816868842,0.0387123201274,1.05561446162e-06,-2.95801925176e-07,-8.37556217448e-06,1,-0.0101044848561,-0.0538164824247,228.29598999,17.7100734711,28.0800056458
0.0645461007953,0.0635167136788,0.065192066133,0.0464988648891,1.05389201641,1.06688404083,1.07700002193,-0.00584532925859,0.046235329484,8.0760179344e-07,-2.26049564844e-07,-6.48639525025e-06,1,-0.00987225025892,-0.0522761493921,230.559494019,16.8691062927,28.0409431458
0.0584828592837,0.057583745569,0.0590468384326,0.0421157218516,1.05170702934,1.06467318535,1.07700002193,-0.00611680699512,0.0484627904001,7.43464340758e-07,-2.0803908285e-07,-5.98648739469e-06,1,-0.00983272399753,-0.0515564791858,231.124710083,16.6370353699,27.9519577026
0.0361619926989,0.0358025431633,0.0363853871822,0.0259522274137,1.04370307922,1.05656003952,1.07700002193,-0.00711308419704,0.0566368777188,4.77579078506e-07,-1.33321762519e-07,-3.92752963307e-06,1,-0.00967328902334,-0.048946339637,233.202178955,15.8400831223,27.630903244
0.0308077502996,0.0304989516735,0.0309996381402,0.0221107900143,1.04131555557,1.0541677475,1.07700002193,-0.00739723118022,0.0590459855682,4.15013715838e-07,-1.15852031968e-07,-3.41445138474e-06,1,-0.00965420529246,-0.0480096787214,233.700592041,15.6272182465,27.4786529541
0.0110054258257,0.0109339933842,0.0110494364053,0.00788111612201,1.03256833553,1.04538822174,1.07700002193,-0.00844000186771,0.0678872209582,1.5383828611e-07,-4.28410054099e-08,-1.29039835883e-06,1,-0.00956998486072,-0.0446125417948,235.53956604,14.8956184387,26.9285354614
0.0064104674384,0.00633320072666,0.00645788852125,0.00460615055636,1.02997660637,1.04281187057,1.07700002193,-0.00873367860913,0.0704802561214,9.65709361367e-08,-2.70405742242e-08,-7.83439645602e-07,1,-0.00957103911787,-0.0435605272651,235.967102051,14.7053956985,26.7358798981
-0.0106769446284,-0.0107361348346,-0.0106411166489,-0.00758987711743,1.02047884464,1.0333571434,1.07700002193,-0.00981142558157,0.0799962113782,-1.44148387449e-07,3.94938446391e-08,1.32623870286e-06,1,-0.00956128723919,-0.0397450216115,237.55166626,14.0500612259,26.0394496918
-0.0145753575489,-0.0146760139614,-0.0145146232098,-0.0103526934981,1.01768422127,1.03059720993,1.07700002193,-0.0101119661704,0.0827724601808,-1.94714260715e-07,5.31720019126e-08,1.81751829587e-06,1,-0.00958168879151,-0.0386688821018,237.913925171,13.8827257156,25.8291015625
-0.0291590876877,-0.0293842218816,-0.0290234703571,-0.0207012686878,1.00744080544,1.02046883106,1.07700002193,-0.0112148979679,0.092960714057,-4.08735132851e-07,1.11219470966e-07,3.87266754842e-06,1,-0.00964387413114,-0.0347658656538,239.263244629,13.3034715652,25.0685825348
-0.0325177572668,-0.0328060984612,-0.0323444679379,-0.0230700001121,1.0044478178,1.01752901077,1.07700002193,-0.0115203401074,0.0959163592041,-4.53286816082e-07,1.22934523006e-07,4.35048605141e-06,1,-0.00968277920038,-0.033735409379,239.573776245,13.1563186646,24.8595962524
-0.0451499335468,-0.0456525199115,-0.0448486916721,-0.0319887585938,0.99347537756,1.00674033165,1.07700002193,-0.0126412631944,0.106763112902,-6.43003772893e-07,1.73012182358e-07,6.35878859612e-06,1,-0.00981411989778,-0.0299980826676,240.735778809,12.6426715851,24.1039810181
-0.0482091456652,-0.0487919263542,-0.0478604882956,-0.0341369509697,0.990291774273,1.0036277771,1.07700002193,-0.012950158678,0.109890957567,-6.83921598466e-07,1.83404424092e-07,6.83934240442e-06,1,-0.0098710982129,-0.0290529709309,241.015182495,12.510055542,23.9090061188
-0.0597464032471,-0.0606130287051,-0.0592296160758,-0.0422460921109,0.978618562222,0.992205440998,1.07700002193,-0.0140837533399,0.121369406891,-8.58792645886e-07,2.28039809258e-07,8.86561247171e-06,1,-0.0100702792406,-0.0256251823157,242.06338501,12.0411481857,23.2041015625
-0.0627786964178,-0.0637463182211,-0.0622026696801,-0.0443666502833,0.975254893303,0.988931238651,1.07700002193,-0.0143949892372,0.124658368549,-8.9882979637e-07,2.37810070303e-07,9.37457298278e-06,1,-0.0101458719,-0.024752324447,242.33531189,11.9156551361,23.0231132507
-0.0741973668337,-0.0755297467113,-0.0734070762992,-0.0523582994938,0.96291911602,0.976915478706,1.07700002193,-0.0155371734872,0.13672829282,-1.06997288185e-06,2.79823353821e-07,1.1522351997e-05,1,-0.0104150669649,-0.0215865951031,243.354660034,11.4643764496,22.3687477112
