"C_p_2nd","C_p_ise","C_p_lin","C_p_sln","Phi_u","Points:0","Points:1","Points:2","arc_length","centroid:0","centroid:1","centroid:2","dC_f:0","dC_f:1","dC_f:2","inclination","mu","normals:0","normals:1","normals:2","sigma","v:0","v:1","v:2"
0.0014234908158,0.00139780098107,0.00348642957397,0.00139157590456,0.185446694493,0.187569230795,0,0.0204786024988,0.205149193087,0.187569230795,4.88722398586e-05,0.0200107842684,3.36462102624e-09,4.1009031726e-09,-6.81438692141e-08,1,-0.0255686882883,-0.0449248105288,7.61697674534e-06,0.986685872078,0,1039.85546875,-0.198474481702,46.9395751953
-0.0013870941475,-0.0013842995977,0.000109924607386,-0.00139118847437,0.20109282434,0.203199997544,0,0.0211387388408,0.220793893441,0.203199997544,4.19074967795e-05,0.0206572934985,-2.58849675028e-09,3.22382764928e-09,7.11848713308e-08,1,-0.0275071784854,-0.0385330021381,6.32057572147e-06,0.986949920654,0,1041.61413574,-0.18318502605,39.7105484009
-0.00374145712703,-0.00372765492648,-0.00272535067052,-0.00376028101891,0.21675337851,0.218830764294,0,0.0216991435736,0.236434702967,0.218830764294,3.51504822902e-05,0.0212060865015,-6.21109341736e-09,3.51310069924e-09,1.95691356453e-07,1,-0.0294312387705,-0.0323271937668,5.16573572895e-06,0.987167477608,0,1043.09082031,-0.174660608172,32.9325942993
-0.00609579030424,-0.0060794041492,-0.00548891816288,-0.00615971768275,0.232429638505,0.234461545944,0,0.0221624840051,0.252072350468,0.234461545944,2.85566402454e-05,0.0216597989202,-8.46534398136e-09,3.61374996594e-09,3.25554282199e-07,1,-0.031339596957,-0.0262675620615,4.10775328419e-06,0.987343072891,0,1044.53027344,-0.167160272598,26.458147049
-0.00834503490478,-0.00833153259009,-0.00808261800557,-0.00847876165062,0.248122125864,0.250092297792,0,0.0225308407098,0.26770744209,0.250092327595,2.20882157009e-05,0.0220204871148,-9.14589914913e-09,3.45180128924e-09,4.53319159988e-07,1,-0.0332317203283,-0.0203206129372,3.12427687277e-06,0.98748010397,0,1045.88110352,-0.16058011353,20.2503547668
-0.0106625780463,-0.0106546031311,-0.0106948725879,-0.0108951106668,0.263830274343,0.265723079443,0,0.0228057969362,0.283340641888,0.265723079443,1.57133908942e-05,0.0222897082567,-8.38142977244e-09,3.90408416706e-09,5.86666374147e-07,1,-0.0351081751287,-0.0144573375583,2.19792127609e-06,0.987580895424,0,1047.24169922,-0.155877128243,14.2562103271
-0.012834219262,-0.0128321349621,-0.0131047125906,-0.0131798349321,0.279557347298,0.281353861094,0,0.022988487035,0.298972491128,0.281353831291,9.40290465223e-06,0.022468585521,-6.08100858557e-09,2.97180702269e-09,7.12060568731e-07,1,-0.0369657203555,-0.00865183118731,1.30385160446e-06,0.987647294998,0,1048.49682617,-0.15078727901,8.44756126404
-0.0145330354571,-0.0145352026448,-0.0149676986039,-0.0149824656546,0.295299142599,0.296984612942,0,0.0230796504766,0.314603508821,0.296984612942,3.13005875796e-06,0.0225578453392,-2.23553997536e-09,2.32753905038e-09,8.09677487723e-07,1,-0.0388085581362,-0.00288021937013,4.32133674622e-07,0.987680196762,0,1049.46704102,-0.147605538368,2.79573249817
-0.0161719266325,-0.0161751285195,-0.0167183056474,-0.0167326387018,0.311053335667,0.312615394592,0,0.0230796504766,0.330234290472,0.312615394592,-3.13005875796e-06,0.0225578453392,2.76796296994e-09,2.47930387332e-09,9.00965574147e-07,1,-0.0406389646232,0.00288021937013,-4.32133674622e-07,0.987680196762,0,1050.37890625,-0.145411014557,-2.75423026085
-0.0178413782269,-0.0178412273526,-0.0184525959194,-0.0185236874968,0.3268224895,0.328246146441,0,0.022988487035,0.345865308165,0.328246146441,-9.40290465223e-06,0.022468585521,8.79319728142e-09,1.99923988475e-09,9.89786144601e-07,1,-0.0424544475973,0.00865183118731,-1.30385160446e-06,0.987647294998,0,1051.28210449,-0.143956065178,-8.23516082764
