x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.06036,-0.257,0.05911,-0.309,0.06022,-0.361,0.06011,-0.403,0.00626,0.155,0.00623,-0.158,0.0063,0.031
0.09959,-0.23,0.09913,-0.304,0.10029,-0.363,0.10019,-0.382,0.01228,-0.236,0.01209,-0.243,0.01265,-0.337
0.15037,-0.239,0.14927,-0.304,0.15032,-0.38,0.15024,-0.389,0.02006,-0.613,0.01983,-0.686,0.02012,-0.718
0.20044,-0.265,0.19909,-0.347,0.20029,-0.383,0.20016,-0.419,0.02988,-0.753,0.02991,-0.792,0.02999,-0.913
0.25039,-0.289,0.2508,-0.363,0.25024,-0.402,0.25021,-0.433,0.04966,-0.468,0.04972,-0.59,0.04995,-0.746
0.3005,-0.306,0.29925,-0.383,0.30008,-0.436,0.30021,-0.45,0.07448,-0.418,0.07488,-0.516,0.07482,-0.693
0.3505,-0.335,0.34927,-0.401,0.35024,-0.451,0.35015,-0.461,0.09994,-0.415,0.09991,-0.535,0.0999,-0.553
0.40047,-0.369,0.39931,-0.428,0.40037,-0.444,0.39977,-0.368,0.13986,-0.448,0.13983,-0.602,0.13976,-0.283
0.4503,-0.402,0.44897,-0.423,0.4501,-0.424,0.45009,-0.358,0.17979,-0.461,0.17999,-0.3,0.17991,-0.296
0.50039,-0.386,0.49927,-0.395,0.50024,-0.376,0.5002,-0.317,0.22001,-0.499,0.2201,-0.319,0.2199,-0.29
0.55025,-0.357,0.54927,-0.333,0.55042,-0.306,0.55033,-0.266,0.25964,-0.403,0.25996,-0.318,0.25976,-0.285
0.60029,-0.314,0.59931,-0.28,0.60071,-0.247,0.60018,-0.211,0.29988,-0.339,0.29994,-0.313,0.29986,-0.27
0.65032,-0.271,0.64917,-0.23,0.65026,-0.192,0.65015,-0.159,0.33985,-0.341,0.34008,-0.303,0.33979,-0.258
0.71026,-0.217,0.70897,-0.166,0.71034,-0.145,0.70977,-0.113,0.37986,-0.337,0.37994,-0.289,0.37976,-0.248
0.78026,-0.152,0.77912,-0.094,0.78008,-0.07,0.78012,-0.046,0.41959,-0.322,0.41988,-0.277,0.41988,-0.253
0.85021,-0.057,0.84903,-0.006,0.85001,0.017,0.8501,0.031,0.45975,-0.305,0.45976,-0.26,0.4597,-0.217
0.92027,0.053,0.91929,0.094,0.92012,0.11,0.92005,0.123,0.4996,-0.264,0.49994,-0.225,0.49987,-0.194
0.98518,0.175,0.98387,0.203,0.98611,0.221,0.98498,0.22,0.53959,-0.227,0.53988,-0.2,0.53975,-0.159
,,,,,,,,0.57961,-0.184,0.57991,-0.153,0.57985,-0.124
,,,,,,,,0.61987,-0.151,0.6197,-0.122,0.61976,-0.101
,,,,,,,,0.65968,-0.118,0.65979,-0.1,0.65966,-0.079
,,,,,,,,0.6997,-0.093,0.69976,-0.067,0.69979,-0.055
,,,,,,,,0.7394,-0.065,0.7397,-0.049,0.7398,-0.034
,,,,,,,,0.7796,-0.027,0.77962,-0.015,0.77942,-0.007
,,,,,,,,0.81937,0.017,0.81965,0.024,0.81985,0.025
,,,,,,,,0.85955,0.058,0.8598,0.06,0.85943,0.057
,,,,,,,,0.8994,0.101,0.89977,0.098,0.89961,0.092
,,,,,,,,0.94227,0.163,0.94861,0.154,0.94959,0.135
,,,,,,,,0.98506,0.222,0.98462,0.203,0.98455,0.175
