x/l_1,Cp_1,x/l_2,Cp_2,x/l_3,Cp_3,x/l_4,Cp_4,x/l_5,Cp_5,x/l_6,Cp_6,x/l_7,Cp_7
0.40047,-0.423,0.39931,-0.427,0.40037,-0.414,0.39977,-0.362,0.13986,-0.523,0.13983,-0.43,0.13976,-0.363
0.4503,-0.406,0.44897,-0.388,0.4501,-0.382,0.45009,-0.334,0.17979,-0.461,0.17999,-0.378,0.17991,-0.336
0.50039,-0.371,0.49927,-0.359,0.50024,-0.348,0.5002,-0.294,0.22001,-0.421,0.2201,-0.35,0.2199,-0.308
0.55025,-0.327,0.54927,-0.308,0.55042,-0.286,0.55033,-0.251,0.25964,-0.385,0.25996,-0.324,0.25976,-0.295
0.60029,-0.289,0.59931,-0.26,0.60071,-0.235,0.60018,-0.199,0.29988,-0.361,0.29994,-0.308,0.29986,-0.278
0.65032,-0.244,0.64917,-0.215,0.65026,-0.185,0.65015,-0.153,0.33985,-0.335,0.34008,-0.288,0.33979,-0.265
0.71026,-0.193,0.70897,-0.153,0.71034,-0.135,0.70977,-0.106,0.37986,-0.315,0.37994,-0.273,0.37976,-0.252
0.78026,-0.13,0.77912,-0.084,0.78008,-0.063,0.78012,-0.039,0.41959,-0.296,0.41988,-0.258,0.41988,-0.259
0.85021,-0.042,0.84903,-0.002,0.85001,0.02,0.8501,0.03,0.45975,-0.283,0.45976,-0.243,0.4597,-0.233
0.92027,0.059,0.91929,0.094,0.92012,0.106,0.92005,0.113,0.4996,-0.241,0.49994,-0.207,0.49987,-0.217
0.98518,0.176,0.98387,0.191,0.98611,0.198,0.98498,0.192,0.53959,-0.21,0.53988,-0.189,0.53975,-0.199
,,,,,,,,0.57961,-0.169,0.57991,-0.147,0.57985,-0.182
,,,,,,,,0.61987,-0.143,0.6197,-0.124,0.61976,-0.18
,,,,,,,,0.65968,-0.11,0.65979,-0.102,0.65966,-0.183
,,,,,,,,0.6997,-0.085,0.69976,-0.072,0.69979,-0.193
,,,,,,,,0.7394,-0.057,0.7397,-0.054,0.7398,-0.215
,,,,,,,,0.7796,-0.024,0.77962,-0.027,0.77942,-0.252
,,,,,,,,0.81937,0.016,0.81965,0.004,0.81985,-0.305
,,,,,,,,0.85955,0.052,0.8598,0.033,0.85943,-0.341
,,,,,,,,0.8994,0.089,0.89977,0.06,0.89961,-0.365
,,,,,,,,0.94227,0.14,0.94861,0.103,0.94959,-0.37
,,,,,,,,0.98506,0.19,0.98462,0.156,0.98455,-0.276
