"C_p_2nd","C_p_ise","Phi_u","Points:0","Points:1","Points:2","arc_length","dC_f:0","dC_f:1","dC_f:2","inclination","mu","sigma","v:0","v:1","v:2"
-0.0743199437857,-0.0740383192897,1.00224208832,0.976915478706,1.07700002193,-0.0155371734872,0.13672829282,1.08320330128e-06,-2.83245839228e-07,-1.16688343041e-05,1,0.025337709114,-0.0919485464692,294.808074951,-12.2565135956,27.1465740204
-0.0792904347181,-0.0789870023727,0.998672664165,0.973494291306,1.07700002193,-0.01584880054,0.140163643552,1.14757483516e-06,-2.98833526813e-07,-1.24880725707e-05,1,0.0251897405833,-0.0910973027349,295.527862549,-12.3543386459,26.9152698517
-0.0978858247399,-0.0974987074733,0.985534369946,0.960938930511,1.07700002193,-0.0169924180955,0.152770980535,1.42106887324e-06,-3.6486531485e-07,-1.59885876201e-05,1,0.0246074870229,-0.0880099460483,298.214141846,-12.7791929245,26.0802211761
-0.103472687304,-0.103057548404,0.981789708138,0.957389056683,1.07700002193,-0.0173015221953,0.15633428652,1.48846118009e-06,-3.80109668185e-07,-1.69375780388e-05,1,0.0244129523635,-0.0870830342174,299.0184021,-12.8905420303,25.8268871307
-0.124294959009,-0.123770579696,0.968002378941,0.944361507893,1.07700002193,-0.0184358768165,0.169411128183,1.77307686045e-06,-4.44194682814e-07,-2.09729387279e-05,1,0.0236539598554,-0.0837212651968,302.008331299,-13.3754606247,24.9117355347
-0.130537614226,-0.12997610867,0.964097201824,0.940704524517,1.07700002193,-0.0187372285873,0.173080506918,1.83783913599e-06,-4.56810795413e-07,-2.20483489102e-05,1,0.023405963555,-0.0826008990407,302.903930664,-13.5051279068,24.6006221771
-0.153713941574,-0.153005987406,0.949715137482,0.927284061909,1.07700002193,-0.0198431350291,0.186546458265,2.10910957321e-06,-5.09118763148e-07,-2.6599098419e-05,1,0.0224451348186,-0.0785374939442,306.220184326,-14.0678653717,23.4755039215
-0.160462111235,-0.159705519676,0.945668399334,0.9235445261,1.07700002193,-0.0201295595616,0.190296947176,2.16061289393e-06,-5.1513706012e-07,-2.77620747511e-05,1,0.0221381243318,-0.0771198198199,307.186767578,-14.2112779617,23.0735435486
-0.185428708792,-0.184478923678,0.930761694908,0.909821093082,1.07700002193,-0.0211806856096,0.20406057605,2.37345716414e-06,-5.38843778486e-07,-3.26615627273e-05,1,0.0209556035697,-0.0719781219959,310.752746582,-14.8347654343,21.6181869507
-0.192372098565,-0.191361367702,0.926597833633,0.906025886536,1.07700002193,-0.0214431770146,0.207864849235,2.39827477344e-06,-5.33374702627e-07,-3.3840744436e-05,1,0.0205871127546,-0.0701908022165,311.746826172,-14.9786710739,21.1008167267
